,/JS,/OpenAction,/AcroForm,/Annot,/Length,/Filter,/FlateDecode,/XObject,/CreationDate,/Author,subject,/ModDate,Script,sys,exe,http,filepath,ascii,unescape,temptmp,eval,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_027,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07459301854701547,0.875,1.0
file_031,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.2,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08668232499122594,0.75,1.0
file_034,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.033757187980886054,1.0,1.0
file_035,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0344645122971842,0.875,1.0
file_036,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.1221565292513701,0.5,0.0
file_037,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.147938770551551,0.375,0.0
file_039,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.4,,,,,0.0,0.0,0.0,0.4,0.5,0.13504495019032964,0.375,0.0
file_042,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.11999136092438109,0.5,0.0
file_044,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.12778812667044628,0.375,0.0
file_045,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03500985394562782,1.0,1.0
file_047,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.5,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.034880267811344186,1.0,1.0
file_048,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.4,,,,,0.0,0.0,0.0,0.4,0.5,0.15644286061391433,0.25,0.0
file_049,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03408115331659512,0.875,1.0
file_050,0.6666666666666666,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.2,,,,,0.0,0.0,0.0,0.23333333333333334,0.0,0.023978834264733673,0.0,1.0
file_052,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0871520747280041,0.875,1.0
file_053,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.14039037822952946,0.375,0.0
file_054,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07350773467239007,0.875,1.0
file_055,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.15661024270403068,0.375,0.0
file_057,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03362760184660241,1.0,1.0
file_058,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.033238843443751526,0.875,1.0
file_062,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07511136308415,0.875,1.0
file_065,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.035150238924435084,1.0,1.0
file_066,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.5,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0347614805215842,1.0,1.0
file_067,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03417834291730785,1.0,1.0
file_070,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03554979617180962,1.0,1.0
file_073,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.1389703301746713,0.5,0.0
file_074,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07134796576766286,0.875,1.0
file_081,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07425285494452094,0.875,1.0
file_084,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.12006695283604654,0.5,0.0
file_088,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.12609810750249725,0.5,0.0
file_090,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08328068896628062,0.875,1.0
file_091,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.16327312977511407,0.5,0.0
file_094,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07464161334737184,0.875,1.0
file_095,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.033357630733511515,1.0,1.0
file_100,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.14363543100888207,0.375,0.0
file_109,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.13125455576253342,0.5,0.0
file_111,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.13648659593423504,0.5,0.0
file_113,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03500985394562782,0.875,1.0
file_114,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.1704597608055938,0.5,0.0
file_118,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03340622553386788,0.875,1.0
file_120,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08742744526335683,0.875,1.0
file_121,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.035393212926216895,0.875,1.0
file_124,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.5,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03357900704624605,1.0,1.0
file_125,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03424313598444967,1.0,1.0
file_126,0.6666666666666666,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.2,,,,,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.007823762857374262,0.0,1.0
file_127,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07689317243054994,0.875,1.0
file_133,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.17017359142571745,0.5,0.0
file_134,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07436624281201912,0.875,1.0
file_136,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.13040144704516618,0.5,0.0
file_137,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0761912475365136,0.875,1.0
file_138,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0347344834102751,0.875,1.0
file_140,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.13228584541454066,0.5,0.0
file_143,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.4,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03289328041899517,1.0,1.0
file_145,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07352933236143734,0.875,1.0
file_150,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03523123025836236,1.0,1.0
file_152,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07842120893064443,0.875,1.0
file_153,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.4,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.034637293809562375,1.0,1.0
file_154,0.6666666666666666,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.2,,,,,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.056882913528252484,0.0,1.0
file_159,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.035571393860856886,1.0,1.0
file_160,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07956048702788802,0.875,1.0
file_161,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.15106503604114363,0.5,0.0
file_164,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08148268135309523,0.875,1.0
file_167,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.4,,,,,0.0,0.0,0.0,0.4,0.5,0.10086120785075997,0.375,0.0
file_169,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08808617477929863,0.875,1.0
file_170,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.13289058070786425,0.5,0.0
file_171,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03371939202505332,1.0,1.0
file_173,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.14782538268405282,0.5,0.0
file_174,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.1473124375691801,0.5,0.0
file_179,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08222780162522611,0.875,1.0
file_180,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,1.0,0.4,0.5,0.16881293701573932,0.5,0.0
file_181,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08202262357927702,0.875,1.0
file_184,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.032731297751140635,1.0,1.0
file_189,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.14487189870683836,0.375,0.0
file_192,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07580788855592452,0.875,1.0
file_194,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07569990011068817,0.875,1.0
file_196,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.034194541184093305,0.875,1.0
file_197,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07613725331389541,0.875,1.0
file_198,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0752571474852191,0.875,1.0
file_199,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03544720714883508,1.0,1.0
file_200,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.12235630787505739,0.5,0.0
file_202,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.4,,,,,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07879376906670987,0.875,1.0
file_204,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0759212764234227,0.875,1.0
file_205,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0844469641748333,0.875,1.0
file_207,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07283820631192463,0.875,1.0
file_220,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03535541697038417,1.0,1.0
file_222,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03325504171053698,1.0,1.0
file_223,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.035717178261925976,1.0,1.0
file_230,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07956588645014985,0.875,1.0
file_231,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08085094894846252,0.875,1.0
file_233,0.0,0.0,,0.0,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.13814961799087497,0.375,0.0
file_234,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.6,,,,,0.0,0.0,0.0,0.4,0.5,0.12709160119867174,0.5,0.0
file_235,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07305418320239734,0.875,1.0
file_236,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.2,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.08621257525444777,0.75,1.0
file_237,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0771253475878081,0.875,1.0
file_238,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.1411570961907076,0.375,0.0
file_239,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.4,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.034788477632893285,1.0,1.0
file_242,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03333063362220243,1.0,1.0
file_244,0.0,0.0,,0.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,,,,0.6666666666666666,0.5,,,,,0.0,0.0,0.0,0.4,0.5,0.1199319672795011,0.375,0.0
file_245,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0798250587187171,0.875,1.0
